TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
4865015,Magic,Strixhaven: School of Mages,Academic Dispute,,91,U,Near Mint,0.03,,1,0.01,8,0,0.18,
4865020,Magic,Strixhaven: School of Mages,Academic Dispute,,91,U,Near Mint Foil,0.08,,1.04,0.05,1,0,0.18,
4850217,Magic,Strixhaven: School of Mages,Academic Probation,,7,R,Near Mint,0.07,0.04,1.01,0.02,2,0,0.18,
4864245,Magic,Strixhaven: School of Mages,Access Tunnel,,262,U,Near Mint,1.45,1.11,1.48,0.49,5,0,1.1,
4861021,Magic,Strixhaven: School of Mages,Accomplished Alchemist,,119,R,Near Mint,0.2,,1.18,0.19,2,0,0.19,
4860361,Magic,Strixhaven: School of Mages,Aether Helix,,162,U,Near Mint,0.02,,1,0.01,5,0,0.18,
4849887,Magic,Strixhaven: School of Mages,Ageless Guardian,,8,C,Near Mint,0.02,,1,0.01,16,0,0.18,
4849892,Magic,Strixhaven: School of Mages,Ageless Guardian,,8,C,Near Mint Foil,0.05,0.01,1,0.01,1,0,0.18,
4870368,Magic,Strixhaven: School of Mages,Arcane Subtraction,,36,C,Near Mint,0.01,0.01,1,0.01,9,0,0.18,
4837936,Magic,Strixhaven: School of Mages,Archmage Emeritus,,37,R,Near Mint,4.93,6.49,3.89,2.9,3,0,6.48,
4860251,Magic,Strixhaven: School of Mages,Archway Commons,,263,C,Near Mint,0.06,0.04,1,0.01,19,0,0.18,
4860256,Magic,Strixhaven: School of Mages,Archway Commons,,263,C,Near Mint Foil,0.18,0.14,1.06,0.07,1,0,0.18,
4865565,Magic,Strixhaven: School of Mages,Ardent Dustspeaker,,92,U,Near Mint,0.03,0.01,1,0.01,10,0,0.18,
4862355,Magic,Strixhaven: School of Mages,Arrogant Poet,,63,C,Near Mint,0.02,,1,0.01,18,0,0.18,
4861185,Magic,Strixhaven: School of Mages,Augmenter Pugilist,,147,R,Near Mint,0.13,0.08,1.07,0.08,3,0,0.18,
4913799,Magic,Strixhaven: School of Mages,Avatar Token,,1,T,Near Mint,0.79,0.23,1.22,0.23,1,0,0.23,
4862465,Magic,Strixhaven: School of Mages,Baleful Mastery,,64,R,Near Mint,1.93,1.99,2.21,1.22,3,0,1.98,
4862470,Magic,Strixhaven: School of Mages,Baleful Mastery,,64,R,Near Mint Foil,1.69,,2.68,1.69,1,0,1.68,
4869373,Magic,Strixhaven: School of Mages,Basic Conjuration,,120,R,Near Mint,0.09,,1.04,0.04,1,0,0.18,
4875488,Magic,Strixhaven: School of Mages,Bayou Groff,,121,C,Near Mint,0.07,0.05,1.04,0.05,14,0,0.18,
4849997,Magic,Strixhaven: School of Mages,Beaming Defiance,,9,C,Near Mint,0.02,0.01,1,0.01,15,0,0.18,
4873608,Magic,Strixhaven: School of Mages,Beledros Witherbloom,,163,M,Near Mint,10.43,11.11,9.25,8.26,1,0,11.1,
4876258,Magic,Strixhaven: School of Mages,Biblioplex Assistant,,251,C,Near Mint,0.02,,1,0.01,17,0,0.18,
4875818,Magic,Strixhaven: School of Mages,Big Play,,122,C,Near Mint,0.02,0.01,1,0.01,17,0,0.18,
4866335,Magic,Strixhaven: School of Mages,Biomathematician,,164,C,Near Mint,0.02,0.01,1,0.01,17,0,0.18,
4849107,Magic,Strixhaven: School of Mages,Blade Historian,,165,R,Near Mint,2.26,1.69,1.98,0.99,1,0,1.68,
4874158,Magic,Strixhaven: School of Mages,"Blex, Vexing Pest",,148,M,Near Mint,1.55,2.94,1.54,0.55,1,0,2.93,
4865125,Magic,Strixhaven: School of Mages,Blood Age General,,93,C,Near Mint,0.01,0.01,1,0.01,15,0,0.18,
4877798,Magic,Strixhaven: School of Mages,Blood Researcher,,166,C,Near Mint,0.03,0.01,1,0.01,14,0,0.18,
4878128,Magic,Strixhaven: School of Mages,Blot Out the Sky,,167,M,Near Mint,0.54,,1.49,0.5,1,0,0.5,
